District,OperatingExpenditures,County,Address,City and Zip,Superintendent,Performance Index Score 2016-17,Performance Index Score 2015-16,Performance Index Score 2014-15,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus
Manchester Local,10886372.5,Adams,130 Wayne Frye Dr,"Manchester, OH, 45144-9314",Brian E. Rau,87.185,82.759,86.028,72.7,C,0.0,14.3,19.2,31.3,21.8,13.4,0.0,113.673,94.7,0.0,0.0,2.0,10.200000000000001,30.6,57.1,0.0
Manchester Local,10886372.5,Summit,6075 Manchester Rd,"Akron, OH, 44319-4654",James E. Robinson,97.74600000000001,96.908,103.82000000000001,81.5,B,0.3,6.4,13.3,27.1,27.900000000000002,24.5,0.5,113.56500000000001,94.60000000000001,0.0,0.9,0.9,13.3,27.2,54.7,3.0
Akron City,308589847.59000003,Summit,70 N Broadway St,"Akron, OH, 44308-1911",David W. James,66.477,65.906,80.66300000000001,55.4,D,1.0,36.7,23.2,21.1,11.6,6.3,0.1,110.358,92.0,0.7000000000000001,1.4000000000000001,3.5,11.9,31.7,49.5,1.3
Alliance City,33607819.61,Stark,200 Glamorgan St,"Alliance, OH, 44601-2946",Jeffery S. Talbert,73.98700000000001,72.322,83.655,61.7,D,0.5,28.8,22.5,22.7,15.1,10.0,0.4,113.46000000000001,94.5,0.0,0.8,3.4,10.1,22.400000000000002,58.2,5.1000000000000005
Ashland City,31063168.4,Ashland,PO Box 160,"Ashland, OH, 44805-0160",Douglas J. Marrah,89.891,86.009,91.34,74.9,C,0.4,14.0,15.8,26.8,23.6,18.1,1.3,115.05900000000001,95.9,0.1,0.1,1.6,10.3,23.900000000000002,55.9,8.0
Ashtabula Area City,39764973.29,Ashtabula,2630 W 13th St,"Ashtabula, OH, 44004-2405",Melissa D. Watson,70.95700000000001,71.07600000000001,79.289,59.1,D,0.4,31.2,23.8,24.900000000000002,13.200000000000001,6.7,0.0,111.23100000000001,92.7,0.0,0.5,1.5,21.0,31.8,45.1,0.0
Athens City,31768058.39,Athens,25 S Plains Rd,"The Plains, OH, 45780-1333",Thomas J. Gibbs,89.684,86.59400000000001,91.4,74.7,C,0.7000000000000001,14.200000000000001,16.1,25.0,23.1,19.2,1.8,112.468,93.7,1.1,0.6,1.9000000000000001,10.700000000000001,31.3,46.1,8.3
Barberton City,43194820.69,Summit,479 Norton Ave,"Barberton, OH, 44203-1737",Jeffrey M. Ramnytz,77.37,73.522,85.054,64.5,D,0.8,21.900000000000002,24.7,26.900000000000002,17.0,8.4,0.1,112.29400000000001,93.60000000000001,0.0,0.0,2.6,13.5,36.5,45.0,2.4
Bay Village City,31675527.65,Cuyahoga,377 Dover Center Rd,"Bay Village, OH, 44140-2304",Clinton L. Keener,105.25500000000001,102.921,102.843,87.7,B,0.3,3.0,7.4,21.900000000000002,30.0,35.7,1.7,118.212,98.5,0.2,0.0,0.4,3.3000000000000003,15.6,71.7,8.8
Beachwood City,29830835.939999998,Cuyahoga,24601 Fairmount Blvd,"Beachwood, OH, 44122-2298",Robert P. Hardis,107.37400000000001,107.42200000000001,108.896,89.5,B,0.0,4.0,6.6000000000000005,18.3,24.2,36.5,10.3,121.165,101.0,0.0,0.2,0.0,2.1,10.4,59.7,27.7
