District,OperatingExpenditures,County,Address,"City, State, Zip",Superintendent,K3 Literacy Grade,K3 Literacy Percent,Total Students Off Track Point A,Total Students Moved to On Track Point B,RIMP Deductions,Current Year % of Kindergarteners Not on Track,Students Off Track Year 1,Students Moved to On Track Year 1,Students Off Track Year 2,Students Moved to On Track Year 2,Students off Track Year 3,Students Moved to On Track Year 3,Students Off Track  Year 4,Students Moved to On Track Year 4,% of 3rd Graders Meeting 3rd Grade Reading Guarantee
Manchester Local,10886372.5,Adams,130 Wayne Frye Dr,"Manchester, OH, 45144-9314",Brian E. Rau,B,50.0,48,24,NC,100.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Manchester Local,10886372.5,Summit,6075 Manchester Rd,"Akron, OH, 44319-4654",James E. Robinson,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Akron City,308589847.59000003,Summit,70 N Broadway St,"Akron, OH, 44308-1911",David W. James,C,25.0,2242,560,232,33.9,655,362,354,78,706,280,527,72,98.6
Alliance City,33607819.61,Stark,200 Glamorgan St,"Alliance, OH, 44601-2946",Jeffery S. Talbert,C,38.2,408,156,NC,12.8,23,14,142,73,137,42,106,33,99.4
Ashland City,31063168.4,Ashland,PO Box 160,"Ashland, OH, 44805-0160",Douglas J. Marrah,A,83.6,262,219,NC,37.9,NC,NC,NC,NC,NC,NC,NC,NC,98.7
Ashtabula Area City,39764973.29,Ashtabula,2630 W 13th St,"Ashtabula, OH, 44004-2405",Melissa D. Watson,NR,NC,NC,0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,89.8
Athens City,31768058.39,Athens,25 S Plains Rd,"The Plains, OH, 45780-1333",Thomas J. Gibbs,D,11.9,151,18,16,24.9,NC,NC,NC,NC,NC,NC,NC,NC,98.8
Barberton City,43194820.69,Summit,479 Norton Ave,"Barberton, OH, 44203-1737",Jeffrey M. Ramnytz,C,32.2,456,147,NC,40.3,NC,NC,NC,NC,NC,NC,NC,NC,91.1
Bay Village City,31675527.65,Cuyahoga,377 Dover Center Rd,"Bay Village, OH, 44140-2304",Clinton L. Keener,B,52.8,53,28,NC,13.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Beachwood City,29830835.939999998,Cuyahoga,24601 Fairmount Blvd,"Beachwood, OH, 44122-2298",Robert P. Hardis,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Bedford City,46990972.47,Cuyahoga,475 Northfield Rd,"Bedford, OH, 44146-2201",Andrea Celico,C,24.6,415,102,33,45.9,77,25,119,26,132,58,87,26,95.7
Bellaire Local,13214083.26,Belmont,340 34th St,"Bellaire, OH, 43906-1589",Darren C. Jenkins,D,23.5,85,20,16,43.2,NC,NC,NC,NC,NC,NC,NC,NC,87.0
Bellefontaine City,26148868.73,Logan,820 Ludlow Rd,"Bellefontaine, OH, 43311-1852",Bradley J. Hall,B,63.5,159,101,NC,29.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Bellevue City,19456840.17,Huron,125 North St,"Bellevue, OH, 44811-1423",Kim M. Schubert,D,23.6,55,13,NC,21.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Belpre City,10751411.27,Washington,2014 Rockland Ave,"Belpre, OH, 45714-1118",Dwight A. Dunn,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,98.7
Berea City,76379778.41,Cuyahoga,390 Fair St,"Berea, OH, 44017-2308",Michael R. Sheppard,C,42.8,416,178,NC,36.0,125,63,80,26,131,65,80,24,99.8
Bexley City,33245295.21,Franklin,348 S Cassingham Rd,"Bexley, OH, 43209-1897",Kimberly P. Miller,B,61.8,89,55,NC,12.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Bowling Green City School District,30476976.1,Wood,137 Clough St,"Bowling Green, OH, 43402-2901",Francis R. Scruci,C,35.8,257,92,NC,54.5,NC,NC,NC,NC,NC,NC,NC,NC,86.8
Brecksville-Broadview Heights City,46759561.370000005,Cuyahoga,6638 Mill Rd,"Brecksville, OH, 44141-1512",Joelle M. Magyar,C,44.4,169,75,NC,16.0,27,16,36,17,47,12,59,32,99.2
Brooklyn City,15887352.120000001,Cuyahoga,9200 Biddulph Rd,"Brooklyn, OH, 44144-2614",Mark G. Gleichauf,C,36.5,63,23,NC,32.0,NC,NC,NC,NC,NC,NC,NC,NC,89.3
Brunswick City,70924182.25,Medina,3643 Center Rd,"Brunswick, OH, 44212-3619",Michael D. Mayell,C,47.4,342,162,12,17.8,80,38,47,22,141,79,74,35,99.8
Bryan City,20976680.28,Williams,1350 Fountain Grove Dr,"Bryan, OH, 43506-8733",Diana L. Savage,B,52.4,103,54,NC,19.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Bucyrus City,15118641.32,Crawford,170 Plymouth St,"Bucyrus, OH, 44820-1627",Kevin D. Kimmel,C,26.0,154,40,NC,16.7,NC,NC,NC,NC,NC,NC,NC,NC,88.7
Cambridge City,22160750.509999998,Guernsey,518 S 8th St,"Cambridge, OH, 43725-8865",Daniel A. Coffman,C,32.9,207,68,23,44.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Campbell City,14975424.73,Mahoning,280 6th St,"Campbell, OH, 44405-1325",Matthew L. Bowen,D,20.8,125,26,NC,27.6,NC,NC,NC,NC,NC,NC,NC,NC,96.6
Canton City,117388787.01,Stark,1312 5th St SW,"Canton, OH, 44707-4657",Adrian E. Allison,D,13.9,1104,153,21,49.8,173,52,206,37,277,11,448,74,75.3
Celina City,32651055.08,Mercer,585 E Livingston St,"Celina, OH, 45822-1742",Kenneth J. Schmiesing,B,61.1,447,273,NC,7.9,NC,NC,NC,NC,NC,NC,NC,NC,96.7
