District,OperatingExpenditures,County,Address,Superintendent,Prepared for Success Component Grade,Prepared for Success Percent,Number of Students Earning 1 Point,Number of Students Earning Bonus (0.3) Point,Honors Diploma Percent,Percent ACT/SAT Remediation Free,Percent Earning Industry Recognized Credentials,Percent Scoring 3+ on AP Test,Percent Scoring 4+ on IB Test,Percent Earning 3+ Dual Enrollment Credits
Manchester Local,10886372.5,Adams,"Manchester, OH, 45144-9314",Brian E. Rau,F,21.0,19,17,13.9,8.7,0.0,0.0,0.0,32.2
Manchester Local,10886372.5,Summit,"Akron, OH, 44319-4654",James E. Robinson,C,46.4,86,43,13.6,34.7,5.2,14.1,0.0,16.4
Akron City,308589847.59000003,Summit,"Akron, OH, 44308-1911",David W. James,F,19.0,480,307,4.3,12.9,2.5,3.4,1.1,15.1
Alliance City,33607819.61,Stark,"Alliance, OH, 44601-2946",Jeffery S. Talbert,D,30.5,105,52,5.6,11.9,14.4,5.1,0.0,23.2
Ashland City,31063168.4,Ashland,"Ashland, OH, 44805-0160",Douglas J. Marrah,C,47.9,191,132,20.8,34.3,3.3,18.9,0.0,27.9
Ashtabula Area City,39764973.29,Ashtabula,"Ashtabula, OH, 44004-2405",Melissa D. Watson,F,16.6,92,4,9.4,13.3,0.7,0.0,0.0,0.9
Athens City,31768058.39,Athens,"The Plains, OH, 45780-1333",Thomas J. Gibbs,C,50.9,186,82,27.3,40.6,1.4,15.2,0.0,11.1
Barberton City,43194820.69,Summit,"Barberton, OH, 44203-1737",Jeffrey M. Ramnytz,D,27.1,139,59,15.9,15.0,4.8,3.3,0.0,8.5
Bay Village City,31675527.65,Cuyahoga,"Bay Village, OH, 44140-2304",Clinton L. Keener,B,80.3,258,173,40.2,64.0,1.6,44.6,0.0,4.9
Beachwood City,29830835.939999998,Cuyahoga,"Beachwood, OH, 44122-2298",Robert P. Hardis,B,70.7,136,112,28.8,55.8,0.8,50.8,0.0,6.3
Bedford City,46990972.47,Cuyahoga,"Bedford, OH, 44146-2201",Andrea Celico,F,17.2,81,38,2.8,8.0,6.5,5.8,0.0,8.2
Bellaire Local,13214083.26,Belmont,"Bellaire, OH, 43906-1589",Darren C. Jenkins,F,13.9,26,0,5.9,8.0,2.7,0.0,0.0,0.0
Bellefontaine City,26148868.73,Logan,"Bellefontaine, OH, 43311-1852",Bradley J. Hall,D,35.3,109,83,17.2,20.3,5.0,10.0,0.0,32.7
Bellevue City,19456840.17,Huron,"Bellevue, OH, 44811-1423",Kim M. Schubert,D,37.9,108,34,22.1,23.7,6.1,0.0,0.0,15.7
Belpre City,10751411.27,Washington,"Belpre, OH, 45714-1118",Dwight A. Dunn,D,26.3,42,4,9.1,13.4,10.4,0.0,0.0,4.9
Berea City,76379778.41,Cuyahoga,"Berea, OH, 44017-2308",Michael R. Sheppard,C,50.2,466,243,22.0,28.6,12.7,17.9,0.0,13.6
Bexley City,33245295.21,Franklin,"Bexley, OH, 43209-1897",Kimberly P. Miller,A,91.6,222,203,43.7,70.6,0.3,70.9,0.0,6.8
Bowling Green City School District,30476976.1,Wood,"Bowling Green, OH, 43402-2901",Francis R. Scruci,C,47.2,208,91,22.4,37.5,2.8,6.0,0.0,17.6
Brecksville-Broadview Heights City,46759561.370000005,Cuyahoga,"Brecksville, OH, 44141-1512",Joelle M. Magyar,B,76.0,472,278,40.1,60.9,2.3,39.1,0.0,4.9
Brooklyn City,15887352.120000001,Cuyahoga,"Brooklyn, OH, 44144-2614",Mark G. Gleichauf,C,45.7,99,39,15.3,26.0,18.2,5.0,0.0,19.0
Brunswick City,70924182.25,Medina,"Brunswick, OH, 44212-3619",Michael D. Mayell,C,52.2,536,298,17.6,34.4,9.5,20.4,0.0,18.4
Bryan City,20976680.28,Williams,"Bryan, OH, 43506-8733",Diana L. Savage,C,53.2,121,88,27.1,33.6,7.2,8.7,0.0,36.8
Bucyrus City,15118641.32,Crawford,"Bucyrus, OH, 44820-1627",Kevin D. Kimmel,F,18.2,27,17,5.7,11.9,2.8,0.0,0.0,15.9
Cambridge City,22160750.509999998,Guernsey,"Cambridge, OH, 43725-8865",Daniel A. Coffman,D,29.5,81,33,13.0,14.3,7.1,0.0,0.0,18.8
Campbell City,14975424.73,Mahoning,"Campbell, OH, 44405-1325",Matthew L. Bowen,D,26.2,40,16,9.9,8.8,8.8,0.0,0.0,11.7
Canton City,117388787.01,Stark,"Canton, OH, 44707-4657",Adrian E. Allison,F,13.9,150,110,6.5,8.4,0.8,5.1,0.0,17.2
Celina City,32651055.08,Mercer,"Celina, OH, 45822-1742",Kenneth J. Schmiesing,D,25.3,86,40,13.4,13.9,1.3,11.6,0.0,3.6
Centerville City,96893237.04,Montgomery,"Centerville, OH, 45458-2249",Thomas J. Henderson,C,67.7,773,514,32.2,54.8,1.5,30.1,0.0,24.2
Chillicothe City,29422533.759999998,Ross,"Chillicothe, OH, 45601-1663",Jon C. Saxton,D,33.0,156,15,19.8,16.7,8.2,3.1,0.0,0.0
Cincinnati City,487463112.19000006,Hamilton,"Cincinnati, OH, 45201-5381",Catherine L. Mitchell,D,27.4,922,760,9.2,20.9,0.6,17.8,0.0,18.5
Circleville City,23635403.53,Pickaway,"Circleville, OH, 43113-1517",Jonathan E. Davis,D,37.0,100,68,10.8,23.1,8.3,11.4,0.0,21.8
Claymont City,21954703.8,Tuscarawas,"Dennison, OH, 44621-1237",John A. Rocchi,D,28.5,79,26,5.2,16.4,9.8,3.3,0.0,15.4
Cleveland Municipal,652259963.12,Cuyahoga,"Cleveland, OH, 44114-2522",Eric S. Gordon,F,8.3,385,194,1.3,6.3,0.6,1.8,0.0,6.6
Cleveland Heights-University Heights City,103112280.62,Cuyahoga,"University Heights, OH, 44118-3301",Talisa L. Dixon,F,22.9,161,105,9.5,15.6,2.4,12.0,0.0,9.6
Columbus City School District,741732367.9000001,,,,,,,,,,,,,
Conneaut Area City,17880523.4,Ashtabula,"Conneaut, OH, 44030-2355",Lori A. Riley,F,16.1,42,1,6.5,11.8,2.3,0.0,0.0,0.4
Coshocton City,16770015.57,Coshocton,"Coshocton, OH, 43812-2742",David L. Hire,D,36.9,64,46,12.8,25.6,5.2,13.7,0.0,23.7
Cuyahoga Falls City,49756540.510000005,Summit,"Cuyahoga Falls, OH, 44222-0396",Todd M. Nichols,D,33.4,195,127,13.5,22.8,2.6,17.8,0.0,14.5
Dayton City,198898767.54000002,Montgomery,"Dayton, OH, 45402-1812",Rhonda A. Corr,F,12.3,202,130,2.2,6.7,2.9,4.6,0.0,31.4
Deer Park Community City,14727889.65,Hamilton,"Cincinnati, OH, 45236-2509",Jack W. Phillips III,D,37.5,58,33,17.7,22.7,5.5,15.5,0.0,12.2
Defiance City,23710054.689999998,Defiance,"Defiance, OH, 43512-2856",Michael R. Struble,D,29.7,104,43,12.9,22.3,2.3,2.8,0.0,16.0
Delaware City,54484300.55,Delaware,"Delaware, OH, 43015-2339",Paul A. Craft,D,39.9,225,164,14.4,27.5,4.4,20.1,0.0,35.3
Delphos City,10018083.31,Allen,"Delphos, OH, 45833-1690",Kevin J. Wolfe,D,35.9,60,31,6.7,25.4,5.2,9.8,0.0,25.9
Dover City,24937181.47,Tuscarawas,"Dover, OH, 44622-2803",Carla J. Birney,C,45.7,157,72,15.1,34.3,4.3,14.3,0.0,6.1
East Cleveland City School District,42169645.620000005,Cuyahoga,"East Cleveland, OH, 44112-2901",Myrna L. Corley,F,10.2,50,1,0.0,1.8,8.5,0.4,0.0,0.2
East Liverpool City,26278427.3,Columbiana,"East Liverpool, OH, 43920-2302",Randy L. Taylor,F,14.0,37,0,6.4,12.5,0.4,0.0,0.0,0.0
East Palestine City,11112550.129999999,Columbiana,"East Palestine, OH, 44413-1779",Traci J. Hostetler,D,32.1,50,15,13.5,20.0,7.6,0.0,0.0,12.9
Eaton Community City,20413855.259999998,Preble,"Eaton, OH, 45320-1105",Barbara L. Curry,D,39.7,111,64,13.7,28.0,4.3,2.1,0.0,32.0
Elyria City Schools,66876297.72,Lorain,"Elyria, OH, 44035-2117",Thomas G. Jama,F,23.7,178,117,11.0,14.5,2.0,4.4,0.0,20.5
Euclid City,73692627.49,Cuyahoga,"Euclid, OH, 44123-2031",Charles A. Smialek,F,7.8,56,44,3.1,3.0,1.3,1.5,0.0,13.8
