District,OperatingExpenditures,County Name,Teachers Attendance Rate 2016-17,Average Teacher Salary,Average Years of Teacher Experience,Lead/Senior Professional Teachers,Average Number of Full Time Teachers,Teacher FTE Who Have At Least a Bachelors,% of Teachers Who Have At Least a Bachelors,Teacher FTE Who Have At Least a Masters,% of Teachers Who Have At Least a Masters,Total # of Core Courses,# of Core Courses Taught by a Properly Certified Teacher,% of Core Courses Taught by a Properly Certified Teacher,# of Core Courses Taught by a Highly Qualified Teacher,% of Core Courses Taught  by a Highly Qualified Teacher,# of Core Courses Taught by Teacher with a Temporary Certificate,% Core Courses w/ Temp Qual Tchr,% of Principals with at least Bachelors,% Principals at least Masters,# of School Counselors,# of School Counselors per 1000 Stdnts,# of School Nurses,# of School Nurses /per 1000 Stdnts,School Psychologist FTE,School Psychologist per 1000 Stdnts,Interpreter FTE,# of Interpreters per 1000 Stdnts,Library / Media Specialist FTE,# of Lib/Media Specialists per 1000 Stdnts,Audiologist FTE,# of Audiologists  per 1000 Stdnts,Physical/Occupational Therapists FTE,# of Physical/Occupational Therapists per 1000 Studnets,# of Social Workers,# of Social Workers per 1000 Stdnts,# of General Education Teachers,General Education Teachers FTE per 1000 Stdnts,# of CTE Teachers,# of CTE Teachers / 1000 Stdnts,# of Special Education Teachers,# of Special Educuaction Teachers per 1000 Stdnts,# of Teacher Aides,# of Teacher Aides per 1000 Stdnts,# of Gifted Intervention Specialists,# of Gifted Teachers / 1000 Stdnts,# of Fine Arts Teachers,# of Fine Arts Teachers per 1000 Stdnts,# of Music Teachers,# of Music Teachers /per1000 Stdnts,# of Physical Education Teachers,# of Phys Ed Teachers per 1000 Stdnts,ESL Teachers,# of ESL Teachers per 1000 Stdnts,# of Adaptive Phys Ed Teachers,# of Adaptive PE Teachers per 1000 Stdnts,# of Speech Language Pathologists,# of Speech Language Pathologists per 1000 Stdnts,% of Teachers  Evaluated as  Ineffective,% of Teachers  Evaluated as  Developing,% of Teachers  Evaluated as Skilled,% of Teachers  Evaluated as  Accomplished,% of Teachers  Evaluations Not Completed,% of Principals Evalulated as  Ineffective,% of Principals Evalulated as Developing,% of Principals Evalulated as Skilled,% of Principals Evalulated as Accomplished,% of Principals Evalulations Not Completed
Manchester Local,10886372.5,Adams,94.8,57922.0,14.0,0.0,63.0,63.0,100.0,42.0,66.6,259.0,259.0,100.0,259.0,100.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.75,1.75,0.0,0.0,0.0,0.0,0.0,0.0,48.01,48.01,1.0,1.0,13.2,13.2,0.0,0.0,0.12,0.12,24.0,24.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12307692,0.84615384,0.03076923,0.0,0.0,0.0,1.0,0.0
Manchester Local,10886372.5,Summit,95.8,52632.0,10.0,0.0,80.0,79.0,98.8,50.0,62.0,433.0,433.0,100.0,433.0,100.0,0.0,0.0,1.0,1.0,4.0,3.07503611,0.0,0.0,2.0,1.53751805,0.0,0.0,4.5,3.45941562,0.0,0.0,0.0,0.0,0.0,0.0,62.92,48.370318,1.0,0.76875902,10.2,7.84134209,7.0,5.3813132,1.0,0.76875902,4.0,3.07503611,3.0,2.30627708,3.5,2.6906566,0.0,0.0,0.0,0.0,1.0,0.76875902,0.0,0.01204819,0.30120481,0.68674698,0.0,0.0,0.0,0.5,0.5,0.0
Akron City,308589847.59000003,Summit,95.1,65137.0,8.0,12.0,1411.0,1200.0,85.0,749.0,53.1,8010.0,7700.0,96.1,7590.0,94.8,0.0,0.0,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,40.5,1.89235376,45.5,2.12597769,2.0,0.09344956,22.6,1.05598012,4.0,0.18689913,925.5,43.2437879,72.0,3.36418447,284.0,13.2698387,322.45,15.0664067,9.0,0.42052306,52.0,2.42968878,52.0,2.42968878,56.0,2.61658792,15.0,0.70087176,1.0,0.04672478,33.0,1.54191788,0.0,0.05148095,0.55430183,0.39069111,0.00352609,0.0,0.09259259,0.81481481,0.09259259,0.0
Alliance City,33607819.61,Stark,94.6,56320.0,9.0,2.0,200.0,196.0,98.0,116.0,58.1,847.0,843.0,99.5,834.0,98.5,0.0,0.0,1.0,1.0,12.99,4.38142615,9.0,3.03563013,7.5,2.52969177,0.0,0.0,0.4,0.13491689,0.0,0.0,2.0,0.67458447,0.0,0.0,121.0,40.8123606,13.9,4.68836209,44.61,15.0466066,16.95,5.71710341,1.0,0.33729223,5.99,2.0203805,8.5,2.86698401,9.5,3.20427625,0.0,0.0,0.0,0.0,3.0,1.01187671,0.0,0.02955665,0.49261083,0.44827586,0.02955665,0.0,0.0,0.5,0.5,0.0
Ashland City,31063168.4,Ashland,94.5,55152.0,14.0,3.0,205.0,200.0,97.6,147.0,71.7,811.0,811.0,100.0,811.0,100.0,0.0,0.0,0.8,0.8,7.0,2.18261001,1.9,0.59242271,1.0,0.31180143,0.0,0.0,4.1,1.27838586,0.0,0.0,0.0,0.0,0.0,0.0,138.31,43.1252558,4.0,1.24720572,39.0,12.1602557,4.0,1.24720572,6.0,1.87080858,7.0,2.18261001,7.0,2.18261001,9.0,2.80621287,0.0,0.0,0.0,0.0,3.0,0.93540429,0.0,0.01449275,0.26086956,0.72463768,0.0,0.0,0.0,0.3,0.7,0.0
Ashtabula Area City,39764973.29,Ashtabula,94.8,54357.0,12.0,0.0,190.0,190.0,100.0,138.0,72.4,970.0,925.0,95.4,925.0,95.4,0.0,0.0,1.0,1.0,6.0,1.69381669,5.0,1.41151391,6.0,1.69381669,0.0,0.0,1.0,0.28230278,0.0,0.0,0.0,0.0,0.0,0.0,128.01,36.1375792,1.0,0.28230278,40.41,11.4078554,48.45,13.6775698,0.0,0.0,5.0,1.41151391,5.0,1.41151391,8.25,2.32899796,0.0,0.0,1.0,0.28230278,3.0,0.84690834,0.0,0.00497512,0.32338308,0.67164179,0.0,0.0,0.0,0.45454545,0.54545454,0.0
Athens City,31768058.39,Athens,93.4,64823.0,15.0,0.0,182.0,181.0,99.5,128.0,70.4,1014.0,1012.0,99.8,998.0,98.4,0.0,0.0,1.0,1.0,5.0,1.90517989,2.7,1.02879714,2.0,0.76207195,0.0,0.0,5.48,2.08807716,0.0,0.0,0.0,0.0,0.0,0.0,130.0,49.5346773,3.0,1.14310793,34.25,13.0504823,14.79,5.63552213,2.0,0.76207195,8.0,3.04828783,8.0,3.04828783,9.0,3.42932381,0.0,0.0,0.0,0.0,3.0,1.14310793,0.0,0.0,0.04419889,0.93922651,0.01657458,0.0,0.0,0.0,1.0,0.0
Barberton City,43194820.69,Summit,94.4,61179.0,12.0,1.0,243.0,240.0,98.8,169.0,69.5,1348.0,1348.0,100.0,1348.0,100.0,0.0,0.0,1.0,1.0,14.0,3.75094698,4.53,1.21369927,1.0,0.26792478,0.0,0.0,1.0,0.26792478,0.0,0.0,4.0,1.07169913,0.0,0.0,156.0,41.7962663,10.5,2.81321023,59.0,15.8075622,42.0,11.2528409,4.0,1.07169913,6.0,1.6075487,7.0,1.87547349,8.5,2.27736066,1.0,0.26792478,0.0,0.0,6.0,1.6075487,0.0,0.00921659,0.34562212,0.61290322,0.03225806,0.0,0.0,0.25,0.75,0.0
Bay Village City,31675527.65,Cuyahoga,95.7,75456.0,16.0,0.0,168.0,168.0,100.0,133.0,78.9,852.0,852.0,100.0,852.0,100.0,0.0,0.0,1.0,1.0,6.38,2.60357479,1.0,0.40808382,2.0,0.81616764,0.0,0.0,8.73,3.56257178,0.0,0.0,0.0,0.0,0.0,0.0,128.84,52.5775198,3.0,1.22425147,12.02,4.90516756,0.0,0.0,2.75,1.12223051,7.1,2.89739514,7.3,2.97901191,6.06,2.47298797,0.0,0.0,0.0,0.0,3.4,1.387485,0.0,0.0,0.08641975,0.91358024,0.0,0.0,0.0,0.0,1.0,0.0
Beachwood City,29830835.939999998,Cuyahoga,94.1,86477.0,15.0,2.0,128.0,128.0,100.0,105.0,82.0,748.0,745.0,99.6,745.0,99.6,0.0,0.0,1.0,1.0,8.0,5.64734086,2.0,1.41183521,3.0,2.11775282,8.93,6.30384424,8.0,5.64734086,0.3,0.21177528,1.0,0.7059176,0.0,0.0,87.13,61.5066012,5.0,3.52958804,20.11,14.1960031,36.97,26.0977739,3.0,2.11775282,3.7,2.61189515,6.47,4.56728692,4.0,2.82367043,1.0,0.7059176,0.0,0.0,4.8,3.38840452,0.0,0.00775193,0.08527131,0.90697674,0.0,0.0,0.0,0.0,0.8,0.2
Bedford City,46990972.47,Cuyahoga,96.7,66114.0,13.0,9.0,225.0,222.0,98.6,117.0,51.9,1149.0,1149.0,100.0,1149.0,100.0,0.0,0.0,1.0,0.83,10.0,3.11030909,2.0,0.62206181,5.0,1.55515454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.53,39.04371,6.0,1.86618545,63.82,19.8499926,13.67,4.25179253,0.0,0.0,7.0,2.17721636,13.0,4.04340182,10.0,3.11030909,1.85,0.57540718,0.0,0.0,4.12,1.28144734,0.0,0.039823,0.64601769,0.31415929,0.0,0.0,0.09090909,0.63636363,0.27272727,0.0
Bellaire Local,13214083.26,Belmont,94.2,60220.0,13.0,0.0,51.0,51.0,100.0,33.0,64.3,369.0,322.0,87.3,318.0,86.2,0.0,0.0,1.0,1.0,2.0,1.73292258,1.0,0.86646129,1.0,0.86646129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.04,30.3608036,0.0,0.0,13.0,11.2639967,11.0,9.53107419,1.0,0.86646129,3.0,2.59938387,4.0,3.46584516,17.0,14.7298419,0.0,0.0,0.0,0.0,1.0,0.86646129,0.0,0.07042253,0.22535211,0.70422535,0.0,0.0,0.0,0.0,0.0,1.0
Bellefontaine City,26148868.73,Logan,96.0,49119.0,15.0,9.0,191.0,190.0,99.5,133.0,69.5,671.0,671.0,100.0,671.0,100.0,0.0,0.0,1.0,1.0,5.4,2.28558547,4.0,1.69302627,2.0,0.84651313,0.0,0.0,7.0,2.96279598,0.0,0.0,1.0,0.42325656,1.0,0.42325656,145.51,61.5880633,2.06,0.87190853,29.56,12.5114641,2.0,0.84651313,2.5,1.05814142,8.0,3.38605255,7.0,2.96279598,9.0,3.80930912,0.0,0.0,0.0,0.0,2.0,0.84651313,0.0,0.0229885,0.45977011,0.51724137,0.0,0.0,0.11111111,0.44444444,0.44444444,0.0
Bellevue City,19456840.17,Huron,96.2,57741.0,17.0,0.0,113.0,113.0,100.0,68.0,59.7,549.0,548.0,99.8,548.0,99.8,0.0,0.0,1.0,1.0,7.0,3.62968166,1.0,0.51852595,0.0,0.0,0.0,0.0,2.0,1.0370519,0.0,0.0,0.0,0.0,0.0,0.0,80.65,41.819118,7.0,3.62968166,20.42,10.5882999,2.0,1.0370519,1.0,0.51852595,5.0,2.59262976,10.0,5.18525952,7.04,3.6504227,0.0,0.0,0.0,0.0,3.0,1.55557785,0.0,0.0,0.30578512,0.69421487,0.0,0.0,0.0,0.14285714,0.85714285,0.0
