District,OperatingExpenditures,County,Address,City and Zip,Superintendent,Performance Index Score 2016-17,Performance Index Score 2015-16,Performance Index Score 2014-15,Performance Index Percent 2016-17,Grade,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus
Bexley City,33245295.21,Franklin,348 S Cassingham Rd,"Bexley, OH, 43209-1897",Kimberly P. Miller,101.666,99.195,100.446,84.7,B,0.2,5.4,9.2,24.4,30.8,28,2,115.852,96.5,0,0.2,0.7,6.7,28.6,57.4,6.4
Columbus City School District,741732367.9,,,,,,,,,D,,,,,,,,,,,,,,,,
Delaware City,54484300.55,Delaware,74 W William St,"Delaware, OH, 43015-2339",Paul A. Craft,92.237,88.19,91.842,76.9,C,0.4,11.7,14.9,26.9,25.3,19.5,1.3,115.55,96.3,1.1,0,0.7,6.2,23.3,60.5,8.3
Hamilton City,103231121.8,Butler,PO Box 627,"Hamilton, OH, 45012-0627",Anthony T. Orr,76.822,71.344,82.604,64,D,0.2,24.2,23.3,27.5,16.6,8.1,0,111.066,92.6,0.2,0.8,2.2,16.6,34,45.5,0.7
South-Western City,233375619.3,Franklin,3805 Marlane Dr,"Grove City, OH, 43123-9224",William H. Wise,81.484,77.754,89.635,67.9,D,0.9,20.2,20,27.1,19,12.7,0.2,113.959,95,0.7,0.3,1.7,8,25.6,61.1,2.6
Upper Arlington City,86780285.41,Franklin,1950 N Mallway Dr,"Upper Arlington, OH, 43221-4398",Paul W. Imhoff,99.474,101.031,103.344,82.9,B,2.9,5,9.5,23.2,26.7,28.1,4.6,114.527,95.4,1.6,0.3,1.1,8.3,22.4,53.6,12.7
Westerville City,159467351.9,Franklin,936 Eastwind Dr Ste 200,"Westerville, OH, 43081-3319",John R. Kellogg,90.584,89.401,97.178,75.5,C,0.5,13.6,15.4,25.5,22.6,21.2,1.1,115.247,96,0.5,0.3,1,8,22.8,61.4,5.9
Whitehall City,37059117.72,Franklin,625 S Yearling Rd,"Whitehall, OH, 43213-2861",Brian D. Hamler,66.442,63.516,71.814,55.4,D,0.1,35.7,26.7,21,11.7,4.6,0.2,109.012,90.8,0,1.2,7.4,8.6,39.5,40.7,2.5
Worthington City,127956685.3,Franklin,200 E Wilson Bridge Rd,"Worthington, OH, 43085-2332",Trent H. Bowers,96.011,93.465,95.136,80,B,0.7,9.2,13.2,24.4,24.9,24,3.6,115.694,96.4,0.4,0.2,1.3,8.2,23.8,54.2,11.9
Marysville Exempted Village,50102900.72,Union,1000 Edgewood Dr,"Marysville, OH, 43040-2105",Diane M. Mankins,95.723,93.106,96.156,79.8,C,0.5,9.2,12.9,25.3,26.4,25.1,0.7,116.933,97.4,0.1,0.1,0.2,4.7,21.7,68.7,4.3
Big Walnut Local,37056821.19,Delaware,110 Tippett Ct,"Sunbury, OH, 43074-9334",Angela S. Pollock,93.577,90.02,95.775,78,C,0.5,9.1,15.4,28.9,27,18.9,0.3,114.024,95,0.1,0.1,1.6,9.9,29.7,56.6,2
Buckeye Valley Local,23072744.46,Delaware,679 Coover Rd,"Delaware, OH, 43015-9562",Andrew J. Miller,95.281,90.464,95.701,79.4,C,0.1,10.9,13.2,23.2,25,25.3,2.3,118.126,98.4,0,0.2,0.8,4.1,16,66.9,12
Olentangy Local,207924207.4,Delaware,7840 Graphics Way,"Lewis Center, OH, 43035-9078",Mark T. Raiff,103.702,102.075,105.704,86.4,B,0.5,3.9,8.4,22.3,28.9,33.5,2.5,116.178,96.8,0.5,0.1,0.6,5.9,23.5,62.5,6.9
Pickerington Local,112321805.4,Fairfield,90 East St.,"Pickerington, OH, 43147-1061",Chris M. Briggs,94.443,90.492,95.208,78.7,C,0,10.5,14,26.7,25.1,22.3,1.4,114.92,95.8,0,0.5,1.3,10.3,25,55.5,7.3
Canal Winchester Local,39309232.56,Franklin,100 Washington St,"Canal Winchester, OH, 43110-1224",James Sotlar,90.892,88.758,96.985,75.7,C,0.1,12.3,16.6,28,24.3,17.9,0.8,115.487,96.2,0.1,0.1,1.2,6.4,27.6,59.2,5.3
Groveport Madison Local,66555206.47,Franklin,4400 Marketing Pl Ste B,"Groveport, OH, 43125-2009",Bruce A. Hoover,74.718,70.359,78.835,62.3,D,0.3,26.4,24.1,26.4,14.7,7.9,0.2,110.913,92.4,0.2,1.1,2.9,15.4,33.5,44.2,2.7
