District,OperatingExpenditures,County Name,Teachers Attendance Rate 2016-17,Average Teacher Salary,Average Years of Teacher Experience,Lead/Senior Professional Teachers,Average Number of Full Time Teachers,Teacher FTE Who Have At Least a Bachelors,% of Teachers Who Have At Least a Bachelors,Teacher FTE Who Have At Least a Masters,% of Teachers Who Have At Least a Masters,Total # of Core Courses,# of Core Courses Taught by a Properly Certified Teacher,% of Core Courses Taught by a Properly Certified Teacher,# of Core Courses Taught by a Highly Qualified Teacher,% of Core Courses Taught  by a Highly Qualified Teacher,# of Core Courses Taught by Teacher with a Temporary Certificate,% Core Courses w/ Temp Qual Tchr,% of Principals with at least Bachelors,% Principals at least Masters,# of School Counselors,# of School Counselors per 1000 Stdnts,# of School Nurses,# of School Nurses /per 1000 Stdnts,School Psychologist FTE,School Psychologist per 1000 Stdnts,Interpreter FTE,# of Interpreters per 1000 Stdnts,Library / Media Specialist FTE,# of Lib/Media Specialists per 1000 Stdnts,Audiologist FTE,# of Audiologists  per 1000 Stdnts,Physical/Occupational Therapists FTE,# of Physical/Occupational Therapists per 1000 Studnets,# of Social Workers,# of Social Workers per 1000 Stdnts,# of General Education Teachers,General Education Teachers FTE per 1000 Stdnts,# of CTE Teachers,# of CTE Teachers / 1000 Stdnts,# of Special Education Teachers,# of Special Educuaction Teachers per 1000 Stdnts,# of Teacher Aides,# of Teacher Aides per 1000 Stdnts,# of Gifted Intervention Specialists,# of Gifted Teachers / 1000 Stdnts,# of Fine Arts Teachers,# of Fine Arts Teachers per 1000 Stdnts,# of Music Teachers,# of Music Teachers /per1000 Stdnts,# of Physical Education Teachers,# of Phys Ed Teachers per 1000 Stdnts,ESL Teachers,# of ESL Teachers per 1000 Stdnts,# of Adaptive Phys Ed Teachers,# of Adaptive PE Teachers per 1000 Stdnts,# of Speech Language Pathologists,# of Speech Language Pathologists per 1000 Stdnts,% of Teachers  Evaluated as  Ineffective,% of Teachers  Evaluated as  Developing,% of Teachers  Evaluated as Skilled,% of Teachers  Evaluated as  Accomplished,% of Teachers  Evaluations Not Completed,% of Principals Evalulated as  Ineffective,% of Principals Evalulated as Developing,% of Principals Evalulated as Skilled,% of Principals Evalulated as Accomplished,% of Principals Evalulations Not Completed
Bexley City,33245295.21,Franklin,94.2,75009.0,14.0,0.0,162.0,160.0,98.8,128.0,79.0,724.0,724.0,100.0,724.0,100.0,0.0,0.0,1.0,1.0,7.25,3.09305533,5.0,2.13314161,2.0,0.85325664,0.0,0.0,7.0,2.98639825,0.0,0.0,0.0,0.0,0.0,0.0,115.39,49.2286421,1.0,0.42662832,22.75,9.70579434,4.0,1.70651329,4.0,1.70651329,7.0,2.98639825,7.27,3.1015879,5.0,2.13314161,1.0,0.42662832,0.0,0.0,2.65,1.13056505,0.0,0.0,0.36196319,0.59509202,0.04294478,0.0,0.0,0.0,1.0,0.0
Columbus City School District,741732367.9000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware City,54484300.55,Delaware,95.0,62012.0,12.0,5.0,311.0,310.0,99.7,214.0,68.7,1513.0,1495.0,98.8,1486.0,98.2,0.0,0.0,1.0,0.88,12.0,2.20132249,3.64,0.66773449,4.0,0.73377416,0.0,0.0,10.9,1.99953459,0.0,0.0,0.0,0.0,1.0,0.18344354,224.84,41.2454457,2.0,0.36688708,58.61,10.7516259,3.0,0.55033062,3.0,0.55033062,10.5,1.92615718,11.0,2.01787895,12.0,2.20132249,2.0,0.36688708,0.0,0.0,5.0,0.9172177,0.0,0.0,0.39252336,0.6012461,0.00623053,0.0,0.0,0.0,1.0,0.0
Hamilton City,103231121.75999999,Butler,95.4,56082.0,10.0,3.0,573.0,569.0,99.3,270.0,47.1,2962.0,2962.0,100.0,2962.0,100.0,0.0,0.0,1.0,1.0,16.0,1.60884727,12.6,1.26696722,13.0,1.30718841,9.0,0.90497659,12.0,1.20663545,0.0,0.0,9.6,0.96530836,0.0,0.0,392.56,39.4730678,15.0,1.50829431,129.9,13.0618288,1.0,0.10055295,2.0,0.2011059,16.0,1.60884727,19.8,1.9909485,14.0,1.40774136,0.0,0.0,1.0,0.10055295,21.49,2.16088299,0.0,0.01149425,0.48932676,0.44991789,0.04926108,0.0,0.0,0.9032258,0.09677419,0.0
South-Western City,233375619.28,Franklin,94.7,65477.0,13.0,19.0,1333.0,1331.0,99.8,847.0,63.5,5584.0,5488.0,98.3,5386.0,96.5,0.0,0.0,1.0,1.0,25.0,1.12499968,9.4,0.42299988,17.8,0.80099977,3.0,0.13499996,13.5,0.60749983,0.0,0.0,19.2,0.86399975,0.0,0.0,888.86,39.9986887,52.0,2.33999934,277.41,12.4834465,145.5,6.54749816,8.0,0.35999989,39.56,1.7801995,46.4,2.08799941,42.07,1.89314946,17.5,0.78749977,4.0,0.17999994,24.4,1.09799969,0.0,0.01548672,0.33112094,0.65265486,0.00073746,0.0,0.01923076,0.57692307,0.40384615,0.0
Upper Arlington City,86780285.41,Franklin,94.6,81475.0,15.0,14.0,407.0,407.0,100.0,336.0,82.6,1948.0,1937.0,99.4,1919.0,98.5,0.0,0.0,1.0,1.0,17.3,3.03152175,7.21,1.26342611,6.0,1.05139482,0.0,0.0,14.74,2.58292662,0.0,0.0,5.03,0.88141933,0.0,0.0,296.98,52.0405393,0.0,0.0,64.3,11.2674479,3.63,0.63609387,7.1,1.24415054,18.7,3.27684721,21.89,3.83583879,18.7,3.27684721,1.0,0.17523247,0.5,0.08761623,7.0,1.22662729,0.0,0.00479616,0.32134292,0.63788968,0.03597122,0.0,0.0,0.57142857,0.35714285,0.07142857
Westerville City,159467351.9,Franklin,94.6,65799.0,8.0,20.0,846.0,844.0,99.8,518.0,61.3,4221.0,4209.0,99.7,4208.0,99.7,0.0,0.0,1.0,0.95,34.0,2.33940513,10.2,0.70182154,11.4,0.78438878,0.81,0.05573288,13.57,0.93369787,0.0,0.0,13.6,0.93576205,3.0,0.2064181,605.4,41.6551726,4.0,0.27522413,154.73,10.6463575,0.0,0.0,2.0,0.13761206,33.61,2.31257078,30.41,2.09239147,30.22,2.07931833,18.0,1.2385086,5.6,0.38531378,20.3,1.39676247,0.00111607,0.01339285,0.52790178,0.44977678,0.0078125,0.0,0.0,0.47368421,0.52631578,0.0
Whitehall City,37059117.72,Franklin,94.2,57958.0,7.0,1.0,204.0,199.0,97.6,89.0,43.8,775.0,768.0,99.1,768.0,99.1,0.0,0.0,1.0,0.71,13.5,3.97009826,2.0,0.5881627,2.59,0.7616707,0.0,0.0,6.0,1.76448811,0.0,0.0,1.0,0.29408135,4.0,1.17632541,143.1,42.0830416,1.0,0.29408135,42.3,12.4396412,11.0,3.23489488,2.0,0.5881627,7.0,2.05856947,8.0,2.35265082,7.0,2.05856947,1.0,0.29408135,0.0,0.0,4.0,1.17632541,0.0,0.0490196,0.78921568,0.14705882,0.01470588,0.0,0.11111111,0.22222222,0.66666666,0.0
Worthington City,127956685.28,Franklin,94.4,73556.0,16.0,6.0,641.0,640.0,100.0,445.0,69.5,2178.0,2178.0,100.0,2178.0,100.0,0.0,0.0,1.0,0.95,21.5,2.18744403,6.0,0.61044949,14.1,1.43455632,0.0,0.0,13.8,1.40403384,0.0,0.0,8.6,0.87497761,0.0,0.0,451.97,45.9841433,1.0,0.10174158,67.14,6.83092989,114.31,11.6300803,13.2,1.34298889,22.02,2.24034966,28.41,2.89047837,24.54,2.49673845,16.0,1.62786533,1.0,0.10174158,12.0,1.22089899,0.0,0.00298953,0.15097159,0.84005979,0.00597907,0.0,0.0,0.23076923,0.65384615,0.11538461
Marysville Exempted Village,50102900.72,Union,95.5,62463.0,9.0,15.0,298.0,298.0,100.0,215.0,72.3,1175.0,1172.0,99.7,1169.0,99.5,0.0,0.0,1.0,1.0,13.0,2.6219104,7.5,1.51264061,5.0,1.00842707,1.0,0.20168541,11.5,2.31938227,0.0,0.0,2.0,0.40337083,0.0,0.0,207.12,41.7730832,4.0,0.80674166,65.55,13.2204789,42.0,8.47078744,0.0,0.0,9.0,1.81516873,11.84,2.38795531,10.0,2.01685415,0.0,0.0,0.0,0.0,8.0,1.61348332,0.0,0.00645161,0.26129032,0.7032258,0.02903225,0.0,0.0,0.38461538,0.61538461,0.0
